4 5 67 111 107 10 3282 40 16 258 18 3048 3 4 46 3 92 4 30 9 30 398 64 47 3 19 6 1216 18 10 6491 1315 2|1 60 3 12 41 6 120 156 9 31 47 16 85 1 30 10 594 2
1 12 58 216 37 14 14 14|1 57 373 20 9 90 1866 25 205 16 299 257 19 117 3282 2 5 145 57 481 33 25 410 5212 68 3 68 73 5 41 9484 9 74 14 24 109 33 10 502 14 14 14 14 14
2 79 37 14 26 22 74 807 169 3 26 22 115 124 465 175 114 713 638 14|5 16 4604 444 625 3 521 3 38 572 128 25 6 12929 312 2
3 72 3 137 14 73 41 5 751 9 46 7|6 2270 3 12 11 10 1321 493 2
1 1638 14 18 198 3 79 1 24 54 596 7|1 1 14
4 35 14|3 196 37 601 209 14
1 47 42 174 147 13956 86 43 5234 27 1233 15 5 30 9 348 88 45 15 265 88 200 12579 2|2 21 11 58 261 68 16 7
7 5 181 267 9 345 1566 14188 3 15 5 1148 53 5 31 1 31 26 56 3 5 111 69 2|6 2373 3 16 11 241 14 5 1077 16 144 175 6 561 156 3 58 17
5 254 2 1 3 24 42 37 18654 9536 30 9 495 26 115 6 1412 98 43 24 7|3 9159 14 94 3 4 219 20 599 12 14
2 56 5 39 7021 16 23 955 74 6 244 2283 5381 3 15 57 11 170 37 306 68 12 2|5 16389 108 2499 5977 7 1344 14
7 213 3 4 153 43 229 17 15 5 66 78 9 95 17 5 81 4 42 91 9 119 1334 1209 2|3 2694 14
7 72 3 4 42 740 3 16 11 544 3 5 34 50 12 2 453 269 80 70 7|7 35 240 2
5 58 241 193 43 1511 62 203 15 19 28 1132 192 14|4 159 3 21 31 4 145 1 296 10 208 1372 7
4 170 7 14 78 10 123 4724 33 6603 47 31 653 7|7 60 3 1 96 7599 97 15 2789 3 38 5 41 1886 16 253 12 101 370 177 128 10 123 124 175 16 2
4 4 80 20 9 75 10 1 7|7 1776 3 4 1894 30 10 778 2 4 66 3063 10 2619 510
7 158 53 4 246 5596 40 28 273 11012 342 4 203 25 3 47 43 181 1349 9 873 17 16 2|4 206 74 14 206 74 56 14
